Testing book embedding SAT encoding.
🟢 graph: P2, pages: 1, actual: SAT, expected: SAT
🟢 graph: P2, pages: 2, actual: SAT, expected: SAT
🟢 graph: P3, pages: 1, actual: SAT, expected: SAT
🟢 graph: P3, pages: 2, actual: SAT, expected: SAT
🟢 graph: P4, pages: 1, actual: SAT, expected: SAT
🟢 graph: P4, pages: 2, actual: SAT, expected: SAT
🟢 graph: P5, pages: 1, actual: SAT, expected: SAT
🟢 graph: P5, pages: 2, actual: SAT, expected: SAT
🟢 graph: P6, pages: 1, actual: SAT, expected: SAT
🟢 graph: P6, pages: 2, actual: SAT, expected: SAT
🟢 graph: P7, pages: 1, actual: SAT, expected: SAT
🟢 graph: P7, pages: 2, actual: SAT, expected: SAT
🟢 graph: P8, pages: 1, actual: SAT, expected: SAT
🟢 graph: P8, pages: 2, actual: SAT, expected: SAT
🟢 graph: P9, pages: 1, actual: SAT, expected: SAT
🟢 graph: P9, pages: 2, actual: SAT, expected: SAT
🟢 graph: P10, pages: 1, actual: SAT, expected: SAT
🟢 graph: P10, pages: 2, actual: SAT, expected: SAT
🟢 graph: K4, pages: 1, actual: UNSAT, expected: UNSAT
🟢 graph: K4, pages: 2, actual: SAT, expected: SAT
🟢 graph: K5, pages: 1, actual: UNSAT, expected: UNSAT
🔴 graph: K5, pages: 2, actual: SAT, expected: UNSAT
🟢 graph: K5, pages: 3, actual: SAT, expected: SAT
🟢 graph: K6, pages: 1, actual: UNSAT, expected: UNSAT
🟢 graph: K6, pages: 2, actual: UNSAT, expected: UNSAT
🟢 graph: K6, pages: 3, actual: SAT, expected: SAT
🟢 graph: K7, pages: 1, actual: UNSAT, expected: UNSAT
🟢 graph: K7, pages: 2, actual: UNSAT, expected: UNSAT
🔴 graph: K7, pages: 3, actual: SAT, expected: UNSAT
🟢 graph: K7, pages: 4, actual: SAT, expected: SAT
🟢 graph: K8, pages: 1, actual: UNSAT, expected: UNSAT
🟢 graph: K8, pages: 2, actual: UNSAT, expected: UNSAT
🔴 graph: K8, pages: 3, actual: SAT, expected: UNSAT
🟢 graph: K8, pages: 4, actual: SAT, expected: SAT
🟢 graph: K9, pages: 1, actual: UNSAT, expected: UNSAT
🟢 graph: K9, pages: 2, actual: UNSAT, expected: UNSAT
🔴 graph: K9, pages: 3, actual: SAT, expected: UNSAT
🔴 graph: K9, pages: 4, actual: SAT, expected: UNSAT
🟢 graph: K9, pages: 5, actual: SAT, expected: SAT
🟢 graph: K10, pages: 1, actual: UNSAT, expected: UNSAT
🟢 graph: K10, pages: 2, actual: UNSAT, expected: UNSAT
🔴 graph: K10, pages: 3, actual: SAT, expected: UNSAT
🔴 graph: K10, pages: 4, actual: SAT, expected: UNSAT
🟢 graph: K10, pages: 5, actual: SAT, expected: SAT
🟢 graph: K11, pages: 1, actual: UNSAT, expected: UNSAT
🟢 graph: K11, pages: 2, actual: UNSAT, expected: UNSAT
🔴 graph: K11, pages: 3, actual: SAT, expected: UNSAT
🔴 graph: K11, pages: 4, actual: SAT, expected: UNSAT
🔴 graph: K11, pages: 5, actual: SAT, expected: UNSAT
🟢 graph: K11, pages: 6, actual: SAT, expected: SAT
🟢 graph: K12, pages: 1, actual: UNSAT, expected: UNSAT
🟢 graph: K12, pages: 2, actual: UNSAT, expected: UNSAT
🔴 graph: K12, pages: 3, actual: SAT, expected: UNSAT
🔴 graph: K12, pages: 4, actual: SAT, expected: UNSAT
🔴 graph: K12, pages: 5, actual: SAT, expected: UNSAT
🟢 graph: K12, pages: 6, actual: SAT, expected: SAT
🟢 graph: K13, pages: 1, actual: UNSAT, expected: UNSAT
🟢 graph: K13, pages: 2, actual: UNSAT, expected: UNSAT
🔴 graph: K13, pages: 3, actual: SAT, expected: UNSAT
🔴 graph: K13, pages: 4, actual: SAT, expected: UNSAT
🔴 graph: K13, pages: 5, actual: SAT, expected: UNSAT
