command,mean,stddev,median,user,system,min,max
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.0.gml.cnf,0.004925107138915666,0.0029758431991913355,0.004651697159999999,0.0017590879518072304,0.0018448718072289164,0.0028834666599999994,0.04472903466
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.0.gml.cnf,0.0035644740289320384,0.0007715555194138991,0.00346571766,0.0013856857605178009,0.0013090348867313925,0.002079447659999999,0.00642431866
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.1.gml.cnf,0.003918796904840762,0.0030453638269106065,0.00367820358,0.0015106340127388543,0.0013250501910828016,0.0021433560800000005,0.05621842408000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.1.gml.cnf,0.0036752265140175947,0.002910892812611866,0.0033483630799999997,0.001382054310850439,0.0012405834017595303,0.002099598080000001,0.05492464508
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.11.gml.cnf,0.003921393506519337,0.0025143329640703272,0.00375254028,0.001563252707182319,0.0013413138121546955,0.002517207779999999,0.04932396978
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.11.gml.cnf,0.0036291942696142394,0.0006654061585911812,0.00359995878,0.0014384138872403553,0.0012901412462907997,0.002239089779999999,0.00716899378
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.12.gml.cnf,0.003610257227261904,0.0030376380310729294,0.003350416759999999,0.0014413633333333344,0.0011795686904761907,0.0022327037599999986,0.05768948176000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.12.gml.cnf,0.003658865307826087,0.0025240227209098517,0.0035206017599999986,0.001410420579710145,0.0012374524637681155,0.002184084759999999,0.04820235476
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.13.gml.cnf,0.0036625776308900557,0.0006147511340121306,0.0035653040000000026,0.0014914269109947633,0.0012550007329842922,0.002312228500000002,0.007039956500000002
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.13.gml.cnf,0.003548087465616051,0.002809993513351342,0.0033152335000000014,0.0013664987392550127,0.0011732763896848124,0.002154262500000002,0.05376896450000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.14.gml.cnf,0.003464594649122811,0.004605250187921325,0.0031625980000000017,0.0014077785964912287,0.0010988698245614041,0.0018297765000000014,0.0875765245
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.14.gml.cnf,0.002990560432307694,0.0007018866495697938,0.002916169500000001,0.0013011215384615392,0.0009773507692307695,0.0016869245000000017,0.008876826500000002
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.15.gml.cnf,0.0038312891947643968,0.0031012471394455195,0.003605042700000001,0.0014772728795811542,0.0013379833507853422,0.0023723732000000006,0.0630196542
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.15.gml.cnf,0.003912650431012663,0.002695592986840277,0.0036677957000000004,0.0014612408860759489,0.0013866339240506346,0.0023407762,0.0492856002
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.16.gml.cnf,0.0038753758140350853,0.003653146815716722,0.0034906682000000007,0.001475415555555556,0.0012977001169590643,0.0022700687000000008,0.0692541177
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.16.gml.cnf,0.0041645913079136655,0.0007569366897300275,0.004171493700000001,0.0016035830215827345,0.0015540682014388494,0.0023372787000000006,0.0060172067000000004
